1,PdDistrict,Category,SUM,district,AREA_MI2,Count_Norm
0,BAYVIEW,LARCENY/THEFT,816,BAYVIEW,7.22,113.01939058171746
1,CENTRAL,LARCENY/THEFT,2170,CENTRAL,2.01,1079.6019900497513
2,INGLESIDE,LARCENY/THEFT,534,INGLESIDE,6.94,76.94524495677233
3,MISSION,LARCENY/THEFT,1698,MISSION,2.89,587.5432525951556
4,NORTHERN,LARCENY/THEFT,2191,NORTHERN,2.97,737.7104377104376
5,PARK,LARCENY/THEFT,575,PARK,3.04,189.14473684210526
6,RICHMOND,LARCENY/THEFT,826,RICHMOND,4.95,166.86868686868686
7,SOUTHERN,LARCENY/THEFT,2481,SOUTHERN,3.28,756.4024390243903
8,TARAVAL,LARCENY/THEFT,767,TARAVAL,10.21,75.1224289911851
9,TENDERLOIN,NON-CRIMINAL,371,TENDERLOIN,0.4,927.5
