IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
18029933,MISSING PERSON,MISSING JUVENILE,Tuesday,04/17/2018,10:30,PARK,NONE,1600 Block of TURK ST,-122.43627497948135,37.78002473310647,"(37.780024733106465, -122.43627497948137)",1802993374010
18029933,RUNAWAY,RUNAWAY,Tuesday,04/17/2018,10:30,PARK,NONE,1600 Block of TURK ST,-122.43627497948135,37.78002473310647,"(37.780024733106465, -122.43627497948137)",1802993329100
160468829,WARRANTS,WARRANT ARREST,Thursday,01/11/2018,08:22,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147905,37.775420706711,"(37.775420706711, -122.40340479147905)",16046882963010
160468829,OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,Thursday,01/11/2018,08:22,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147905,37.775420706711,"(37.775420706711, -122.40340479147905)",16046882914020
180000122,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Monday,01/01/2018,00:32,NORTHERN,"ARREST, BOOKED",WEBSTER ST / OAK ST,-122.42917887616841,37.774182253014295,"(37.774182253014295, -122.42917887616841)",18000012265050
180000122,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,01/01/2018,00:32,NORTHERN,"ARREST, BOOKED",WEBSTER ST / OAK ST,-122.42917887616841,37.774182253014295,"(37.774182253014295, -122.42917887616841)",18000012265010
180000122,NON-CRIMINAL,IMPOUNDED VEHICLE,Monday,01/01/2018,00:32,NORTHERN,"ARREST, BOOKED",WEBSTER ST / OAK ST,-122.42917887616841,37.774182253014295,"(37.774182253014295, -122.42917887616841)",18000012207053
180000172,SECONDARY CODES,PREJUDICE-BASED INCIDENT,Monday,01/01/2018,00:55,MISSION,NONE,100 Block of UTAH ST,-122.40666763740835,37.76777047915387,"(37.76777047915387, -122.40666763740835)",18000017215300
180000172,ASSAULT,BATTERY,Monday,01/01/2018,00:55,MISSION,NONE,100 Block of UTAH ST,-122.40666763740835,37.76777047915387,"(37.76777047915387, -122.40666763740835)",18000017204134
180000285,OTHER OFFENSES,RESISTING ARREST,Monday,01/01/2018,02:08,MISSION,"ARREST, BOOKED",3300 Block of CESAR CHAVEZ ST,-122.41705938514507,37.7480778892528,"(37.7480778892528, -122.41705938514507)",18000028527170
